record_id,site,sample,age_ka_as_published,minus_ka,plus_ka,uncertainty_convention,measurement,relationship_to_human_event,dependency_group,source_id,source_locator,ingestion_status
aw1,Al Wusta,AW-1,87.6,2.5,2.5,2 sigma,U-series,minimum fossil age; not first arrival,AW-chronology,alwusta2018,SI section4 p22,censoring model required
aw-enamel,Al Wusta,WU1601 enamel,83.5,8.1,8.1,2 sigma,U-series,minimum associated tooth age,AW-tooth,alwusta2018,SI section4 p22,associated fauna; shared uptake model
aw-dentine,Al Wusta,WU1601 dentine,65,2.1,2.1,2 sigma,U-series,minimum associated tooth age,AW-tooth,alwusta2018,SI section4 p22,associated fauna; shared uptake model
aw-esr,Al Wusta,WU1601,103,9,10,1 sigma,US-ESR,finite associated tooth age,AW-tooth,alwusta2018,SI section4 p22,not independent of same tooth U-series
aw-pd40,Al Wusta,PD40,98.6,7,7,unconfirmed in extraction,OSL,Unit3a associated deposit,AW-chronology,alwusta2018,SI section4 p22; Table16,resolve sigma and shared systematic terms
aw-pd17,Al Wusta,PD17,85.3,5.6,5.6,unconfirmed in extraction,OSL,underlying Unit1 maximum fossil age constraint,AW-chronology,alwusta2018,SI section4 p22; Table16,resolve sigma and stratigraphic likelihood
aw-pd41,Al Wusta,PD41,92.2,6.8,6.8,unconfirmed in extraction,OSL,underlying Unit1 maximum fossil age constraint,AW-chronology,alwusta2018,SI section4 p22; Table16,resolve sigma and stratigraphic likelihood
aw-pd15,Al Wusta,PD15,92,6.3,6.3,unconfirmed in extraction,OSL,underlying Unit1 maximum fossil age constraint,AW-chronology,alwusta2018,SI section4 p22; Table16,resolve sigma and stratigraphic likelihood
al-pd61,Alathar,PD61,121,11,11,unconfirmed in extraction,OSL,Unit2 below footprints; older bracketing layer,Alathar-chronology,alathar2020,SI Text2; TableS4,resolve sigma; climate left boundary issue
al-pd62,Alathar,PD62,112,10,10,unconfirmed in extraction,OSL,Unit5 above footprints; younger bracketing layer,Alathar-chronology,alathar2020,SI Text2; TableS4,resolve sigma; joint stratigraphic model
